store_id,prod_id,pub_date,units_sold
1,14,2023-01-31 18:29:40+00:00,1000
2,14,2023-01-31 18:30:00+00:00,800
3,14,2023-01-31 18:30:18+00:00,1100
1,14,2023-02-28 18:30:36+00:00,800
2,14,2023-02-28 18:30:51+00:00,759
3,14,2023-02-28 18:31:10+00:00,750
1,13,2021-01-31 18:35:33+00:00,0
1,13,2021-02-28 18:35:33+00:01,0
1,13,2021-03-31 18:35:33+00:02,0
1,13,2021-04-30 18:35:33+00:03,0
1,13,2021-05-31 18:35:33+00:04,0
1,13,2021-06-30 18:35:33+00:05,0
1,13,2021-07-31 18:35:33+00:06,0
1,13,2021-08-31 18:35:33+00:07,0
1,13,2021-09-30 18:35:33+00:08,0
1,13,2021-10-31 18:35:33+00:09,0
1,13,2021-11-30 18:35:33+00:10,0
1,13,2021-12-31 18:35:33+00:11,0
1,13,2022-01-01 18:31:43+00:00,999
1,13,2022-02-28 18:32:15+00:00,789
1,13,2022-03-31 17:32:39+00:00,645
1,13,2022-04-30 17:32:39+00:01,645
1,13,2022-05-31 17:32:39+00:02,500
1,13,2022-06-30 17:32:39+00:03,525
1,13,2022-07-31 17:32:39+00:04,594
1,13,2022-08-31 17:32:39+00:05,580
1,13,2022-09-30 17:32:39+00:06,400
1,13,2022-10-31 17:32:39+00:07,500
1,13,2022-11-30 17:32:39+00:08,350
1,13,2022-12-31 17:32:39+00:09,650
1,13,2023-01-31 18:29:40+00:00,200
1,13,2023-02-28 18:30:36+00:00,150
2,13,2021-01-31 18:35:33+00:00,0
2,13,2021-02-28 18:35:33+00:01,0
2,13,2021-03-31 18:35:33+00:02,0
2,13,2021-04-30 18:35:33+00:03,0
2,13,2021-05-31 18:35:33+00:04,0
2,13,2021-06-30 18:35:33+00:05,0
2,13,2021-07-31 18:35:33+00:06,0
2,13,2021-08-31 18:35:33+00:07,0
2,13,2021-09-30 18:35:33+00:08,0
2,13,2021-10-31 18:35:33+00:09,0
2,13,2021-11-30 18:35:33+00:10,0
2,13,2021-12-31 18:35:33+00:11,0
2,13,2022-01-31 18:33:03+00:00,849
2,13,2022-02-28 18:33:30+00:00,726
2,13,2022-03-31 17:33:55+00:00,546
2,13,2022-04-30 17:32:39+00:01,652
2,13,2022-05-31 17:32:39+00:02,625
2,13,2022-06-30 17:32:39+00:03,215
2,13,2022-07-31 17:32:39+00:04,425
2,13,2022-08-31 17:32:39+00:05,523
